Unnamed: 0,store_id_in_org,store_no,store_name,store_address,store_type,short_code_prefix,open_status,x_axis,y_axis,city_id,dist_id,baidu_lat,baidu_lng,precise,confidence,comprehension
63,567.0,2271.0,上海证大五道口店,上海市浦东新区民生路1199弄地下1层车位19/20/21,Community,C,2,,,310100,310115,31.232876176349315,121.55614785156087,0,60,80
64,592.0,2296.0,上海中春路站店,上海市闵行区中春路1988号,gasStation,C,2,,,310100,310112,31.067400546020615,121.39418248328091,1,80,100
65,602.0,2306.0,上海光明路店,上海市浦东新区光明路797号-801号一层,Community,C,2,,,310100,310115,31.33146377014294,121.63195510615772,1,80,99
66,613.0,2317.0,上海聚丰园路店,上海市宝山区聚丰园路581号,Community,C,2,,,310100,310113,31.319984974768033,121.38177520974665,1,80,100
67,614.0,2318.0,上海南码头路店,上海市浦东新区南码头路1215号,Community,C,2,,,310100,310115,31.188912713257494,121.52117327783542,1,80,100
68,627.0,2331.0,上海颛盛路店,上海市闵行区颛盛路508-510号,Community,C,2,,,310100,310112,31.068201748671374,121.39768246749703,1,80,99
69,646.0,2350.0,上海宝乐路店,上海市嘉定区宝乐路58弄5号101室、102室,Community,C,2,,,310100,310114,31.336949422613483,121.29485330192234,1,80,96
70,1786.0,4905.0,上海船厂路店,上海市-徐汇区-船厂路37号,Community,,2,,,310100,310104,31.19327899188014,121.46587429221778,1,80,100
71,1751.0,4914.0,上海古美路店,上海市闵行区古美路65号,Community,,2,,,310100,310112,31.143434266469253,121.41083953418286,1,80,100
72,2041.0,4936.0,上海人民西路站店,上海市-浦东新区-惠南镇人民西路956号人民西路加油站,gasStation,,2,,,310100,310115,31.05590770472449,121.74125361738805,1,80,96
73,2019.0,4941.0,上海华鹏路店,上海市-浦东新区-华鹏路126、128、130、132号,Community,,2,,,310100,310115,31.183550277095488,121.53092910474169,1,80,96
74,2020.0,4953.0,上海盈港路店,上海市青浦区盈港路665.667.669.671号,Community,,2,,,310100,310118,31.165539531210886,121.09253519854055,0,30,95
75,2024.0,4984.0,上海崧涵路店,上海市-青浦区-崧涵路165、167、169号,Community,,2,,,310100,310118,31.153243745511446,121.15614614665216,0,50,94
76,2001.0,5176.0,上海吴中路店,上海市-闵行区-吴中路500号,Community,,2,,,310100,310112,31.19110684499573,121.41144199175616,1,80,100
77,2002.0,5177.0,上海大华路店,上海市-宝山区-新沪路689号,Comprehensive,,2,,,310100,310113,31.277817178870233,121.42432527109203,1,80,100
78,2003.0,5178.0,上海新松江路店,上海市-松江区-江学路913号,Comprehensive,,2,,,310100,310117,31.047996094251587,121.21808586473536,1,80,100
79,2004.0,5179.0,上海水产路店,上海市-宝山区-水产西路517号,Comprehensive,,2,,,310100,310113,31.364161306780062,121.42726537561938,1,80,100
80,2007.0,5182.0,上海东安路服务店,上海市-徐汇区-东安路239号,Service,,2,,,310100,310104,31.1994170618781,121.46080093218909,1,80,100
81,2008.0,5183.0,上海汽贸服务店,上海市-普陀区-怒江北路465号,Service,,2,,,310100,310107,31.24183368138677,121.39386396121488,1,80,100
82,2009.0,5184.0,上海金桥服务店,上海市-浦东新区-金海路351号,Service,,2,,,310100,310115,31.26523029481736,121.61355682836377,1,80,100
83,2010.0,5185.0,上海安吉大众服务店,上海市-宝山区-蕴川路329号,Service,,2,,,310100,310113,31.357148640398538,121.44140750436472,1,80,100
84,2011.0,5186.0,上海腾众安亭服务店,上海市-嘉定区-安亭国际汽车城核心贸易区步行街401号,Service,,2,,,310100,310114,31.28776429157222,121.17409336548684,0,50,68
85,2012.0,5187.0,上海后滩服务店,上海市-浦东新区-龙阳路158号,Service,,2,,,310100,310115,31.208450179842302,121.51824639367025,1,80,100
86,2013.0,5188.0,上海颛桥服务店,上海市-闵行区-沪闵路3388号,Service,,2,,,310100,310112,31.067198219903528,121.40981943461522,1,80,100
87,2014.0,5189.0,上海静安大众服务店,上海市-静安区-康定路1115号,Service,,2,,,310100,310106,31.236960709917085,121.44230783914684,1,80,100
88,2015.0,5190.0,上海名流服务店,上海市-普陀区-铜川路1366号,Service,,2,,,310100,310107,31.25661207183053,121.40211630047725,1,80,100
89,2131.0,5454.0,上海盛大店,上海市-静安区-灵石路656号,Community,,2,,,310100,310106,31.28926305468558,121.45344846058998,1,80,100
90,2132.0,5455.0,上海逸仙路店,上海市-宝山区-逸仙路3363号,Community,,2,,,310100,310113,31.35014051682358,121.50744351264122,1,80,100
